availability_outcome,flag_column,n_obs,n_spk,log_or_per_10mm,or_per_10mm,or_ci_low,or_ci_high,p
jaw_cycle_availability,ema_cycles_ok,6134,23,0.07505022831980249,1.0779382925541834,0.8197387023774277,1.4174650521985939,0.591123388617811
audio_mod_availability,audio_ok,6134,23,0.6322623982303207,1.8818632909658766,0.4768582689529983,7.426545110899565,0.3666815708114529
