availability_outcome,n_obs,n_spk,log_or_per_10mm,or_per_10mm,or_ci_low,or_ci_high,p
jaw_cycle_availability,6134,23,0.075050228319804027,1.0779382925541849,0.81974282690670608,1.4174579202348689,0.59112338861782432
audio_mod_availability,6134,23,0.63226239823031372,1.8818632909658635,0.47687029808915443,7.4263577750082002,0.36668157081147323
