analysis,outcome,effect_per_10mm_hz,ci_low_hz,ci_high_hz,p_value,n_obs,n_spk
all_sequences_1_10hz,audio_mod_dom_hz_1_10,-0.16073278575232985,-0.2720508894469182,-0.04941468205774151,0.004654012816228926,5572,23
all_sequences_existing_2_10hz,audio_mod_dom_hz,-0.21214530356198102,-0.3430404052451307,-0.08125020187883136,0.001489990032804805,5572,23
reduplicated_1_10hz,audio_mod_dom_hz_1_10,-0.18532595351813316,-0.2857675685786759,-0.0848843384575904,0.00029870783479538825,3371,23
reduplicated_existing_2_10hz,audio_mod_dom_hz,-0.2395303935256388,-0.35021549087809917,-0.12884529617317841,2.2195285512031372e-05,3371,23
trisyllabic_1_10hz,audio_mod_dom_hz_1_10,-0.12302436791146723,-0.2911980768695285,0.045149341046594016,0.15162884053806278,2201,22
trisyllabic_existing_2_10hz,audio_mod_dom_hz,-0.17042806889335826,-0.35278845855138796,0.011932320764671461,0.06698837216046484,2201,22
