domain,outcome,model,nobs,n_participants,beta,se,p,ci_low,ci_high,effect_pct,effect_pct_ci_low,effect_pct_ci_high,effect_units,effect_units_ci_low,effect_units_ci_high
ema,ema_cycle_rate_hz,base,3323,22,-0.19048828455167591,0.10719723461441941,0.075570083747163799,-0.400594864395938,0.019618295292586199,,,,-0.19048828455167591,-0.400594864395938,0.019618295292586199
ema,ema_cycle_rate_hz,height,3323,22,-0.25473205694437617,0.094798411845187003,0.0072077090866202002,-0.4405369441609428,-0.068927169727809504,,,,-0.25473205694437617,-0.4405369441609428,-0.068927169727809504
ema,jaw_open_amp_median_mm,base,3323,22,-0.46764614342254862,0.15610962258371899,0.0027388155288011,-0.77362100368663778,-0.16167128315845941,,,,-0.46764614342254862,-0.77362100368663778,-0.16167128315845941
ema,jaw_open_amp_median_mm,height,3323,22,-0.51706417989881637,0.1728559650077065,0.0027779174506374999,-0.85586187131392122,-0.1782664884837114,,,,-0.51706417989881637,-0.85586187131392122,-0.1782664884837114
audio,audio_mod_dom_hz,base,5572,23,-0.089215731934613907,0.056440425461270698,0.11394522411472981,-0.1998389658387045,0.021407501969476599,,,,-0.089215731934613907,-0.1998389658387045,0.021407501969476599
audio,audio_mod_dom_hz,height,5572,23,-0.212145303561981,0.066783215144475203,0.0014899900328075001,-0.3430404052451525,-0.081250201878809505,,,,-0.212145303561981,-0.3430404052451525,-0.081250201878809505
