domain,outcome,model,term,estimate,se,p,ci_low,ci_high,nobs,n_participants
ema,ema_cycle_rate_hz,height,Intercept,3.6607742105983418,0.1460799998773438,1.3561841631641116e-138,3.3744626719771325,3.9470857492195512,3323,22
ema,ema_cycle_rate_hz,height,C(rate)[T.normal],-0.96025417155055237,0.13511139313302439,1.1848123264565417e-12,-1.2250676359923125,-0.69544070710879224,3323,22
ema,ema_cycle_rate_hz,height,C(sequence)[T.dadada],-0.20568933785254359,0.084760745884713495,0.015236633559647999,-0.37181734708933378,-0.039561328615753399,3323,22
ema,ema_cycle_rate_hz,height,C(sequence)[T.gugugu],-0.98379508380334757,0.22525105071091511,1.2564840231958439e-05,-1.4252790306765466,-0.54231113693014854,3323,22
ema,ema_cycle_rate_hz,height,C(sequence)[T.kukuku],-0.21505764037123101,0.11142687182075579,0.053602637087687401,-0.43345029604987351,0.0033350153074113999,3323,22
ema,ema_cycle_rate_hz,height,C(sequence)[T.kutapi],-0.1038506464198438,0.092085423638078701,0.25941950575128409,-0.2843347602515916,0.0766334674119038,3323,22
ema,ema_cycle_rate_hz,height,C(sequence)[T.pipipi],0.49494399795807498,0.10273662941365259,1.4529519123040896e-06,0.29358390441427751,0.69630409150187245,3323,22
ema,ema_cycle_rate_hz,height,C(sequence)[T.pitaku],-0.39775161513229418,0.1114593640783446,0.00035892178341740002,-0.61620795446558718,-0.1792952757990012,3323,22
ema,ema_cycle_rate_hz,height,C(sequence)[T.takupi],-0.57167434451601284,0.11917599779025879,1.6114673825003837e-06,-0.80525500800654526,-0.33809368102548037,3323,22
ema,ema_cycle_rate_hz,height,C(sequence)[T.tatata],0.4107723311149275,0.094557612976602798,1.3981679104465552e-05,0.22544281521670859,0.59610184701314639,3323,22
ema,ema_cycle_rate_hz,height,co_me_mean_mm_10,-0.25473205694437617,0.094798411845187003,0.0072077090866202002,-0.44053352995253803,-0.068930583936214304,3323,22
ema,ema_cycle_rate_hz,height,height_cm_c,0.020555640998409501,0.0098586325552171006,0.037065690283036301,0.0012330762533698,0.039878205743449198,3323,22
ema,jaw_open_amp_median_mm,height,Intercept,2.7738214117655704,0.25455411021690899,1.1940193387285681e-27,2.274904523623789,3.2727382999073522,3323,22
ema,jaw_open_amp_median_mm,height,C(rate)[T.normal],0.14379083601048859,0.2194102737047392,0.51224151696048181,-0.28624539828887602,0.57382707030985314,3323,22
ema,jaw_open_amp_median_mm,height,C(sequence)[T.dadada],-0.32360732681653381,0.19975009309679639,0.1052191834300366,-0.71511031519477786,0.067895661561710105,3323,22
ema,jaw_open_amp_median_mm,height,C(sequence)[T.gugugu],-1.0220728179951091,0.54552500025557582,0.060991348859143403,-2.0912821711622414,0.047136535172023201,3323,22
ema,jaw_open_amp_median_mm,height,C(sequence)[T.kukuku],-0.45586527673266819,0.1856144066053069,0.014050096315807101,-0.81966282869084339,-0.092067724774493098,3323,22
ema,jaw_open_amp_median_mm,height,C(sequence)[T.kutapi],-0.16606852509145401,0.13377913448344031,0.21447152271093159,-0.42827081056193739,0.096133760379029404,3323,22
ema,jaw_open_amp_median_mm,height,C(sequence)[T.pipipi],-0.53869263507815135,0.1730406804434941,0.001851343908457,-0.87784613660770439,-0.19953913354859831,3323,22
ema,jaw_open_amp_median_mm,height,C(sequence)[T.pitaku],-0.050812180662176701,0.2137773566292426,0.8121235693776494,-0.46980810036566728,0.36818373904131368,3323,22
ema,jaw_open_amp_median_mm,height,C(sequence)[T.takupi],-0.080777513477477095,0.206953645741218,0.6963021993247972,-0.4863992055995256,0.32484417864457132,3323,22
ema,jaw_open_amp_median_mm,height,C(sequence)[T.tatata],-0.064001267422165803,0.1419834538586493,0.6521584427436673,-0.34228372338572322,0.2142811885413915,3323,22
ema,jaw_open_amp_median_mm,height,co_me_mean_mm_10,-0.51706417989881637,0.1728559650077065,0.0027779174506374999,-0.85585564582683715,-0.17827271397079561,3323,22
ema,jaw_open_amp_median_mm,height,height_cm_c,0.015811951552955301,0.016298924418977501,0.33198548854410392,-0.016133353294981001,0.047757256400891797,3323,22
audio,audio_mod_dom_hz,height,Intercept,5.3374876777790616,0.1368655181302986,0,5.0692361915182627,5.6057391640398606,5572,23
audio,audio_mod_dom_hz,height,C(rate)[T.normal],-2.2974329613827611,0.1027903059767855,1.1892607071411191e-110,-2.4988982590571132,-2.095967663708409,5572,23
audio,audio_mod_dom_hz,height,C(sequence)[T.dadada],-0.069786323847877599,0.094640433994007594,0.46088897784618121,-0.2552781659573729,0.1157055182616176,5572,23
