record_type,analysis_family,model_id,outcome,formula,stratum_type,stratum,term,term_coding,beta,robust_se,ci_lower,ci_upper,test_statistic,test_statistic_type,p_value,transformed_effect,transformed_ci_lower,transformed_ci_upper,transformed_unit,n_observations,n_speakers,family,link,working_correlation,covariance_estimator,cluster,sequence_reference,software_versions,input_files,input_sha256,script_file,script_sha256,status
derived_stratum_slope,instructed_rate_interaction,log_speechrate_by_rate_independence_gee,log_speechrate,"log_speechrate ~ C(rate, Treatment(reference='fast')) + C(sequence, Treatment(reference='bibibi')) + co_me_mean_mm_10 + height_cm_c + co_me_mean_mm_10:C(rate, Treatment(reference='fast'))",instructed_rate,fast,Co--Me slope within fast,Per +10 mm bilateral mean Co--Me within the named stratum,-0.082969411326935902,0.036089934956850415,-0.15370438404675582,-0.012234438607115983,-2.2989626173096509,Wald z,0.021507062160195264,-7.962070002895338,-14.247451824118729,-1.2159902143353052,percent change,8123,28,Gaussian,identity,independence,robust sandwich,participant_id,bibibi,"{""numpy"": ""2.3.5"", ""pandas"": ""2.2.3"", ""patsy"": ""1.0.2"", ""platform"": ""Linux-6.12.13-x86_64-with-glibc2.41"", ""python"": ""3.13.5"", ""scipy"": ""1.17.0"", ""statsmodels"": ""0.14.6""}",data/derived/primary/analysis_dataset_clean.csv,data/derived/primary/analysis_dataset_clean.csv=4492e389789b7126c2b9f15588b682871f374cf917aa6006134c3090bffcf9ed,model_functions.py,4206630e93d535c07e87971021aa67c099e7eb125474c30345af547104c5f997,VERIFIED_CANONICAL
derived_stratum_slope,instructed_rate_interaction,log_speechrate_by_rate_independence_gee,log_speechrate,"log_speechrate ~ C(rate, Treatment(reference='fast')) + C(sequence, Treatment(reference='bibibi')) + co_me_mean_mm_10 + height_cm_c + co_me_mean_mm_10:C(rate, Treatment(reference='fast'))",instructed_rate,normal,Co--Me slope within normal,Per +10 mm bilateral mean Co--Me within the named stratum,-0.05773770825337781,0.028600748327192869,-0.11379414490557002,-0.0016812716011855924,-2.0187481667562612,Wald z,0.043513400913560103,-5.6102508507326121,-10.755834936522602,-0.16798590558221305,percent change,8123,28,Gaussian,identity,independence,robust sandwich,participant_id,bibibi,"{""numpy"": ""2.3.5"", ""pandas"": ""2.2.3"", ""patsy"": ""1.0.2"", ""platform"": ""Linux-6.12.13-x86_64-with-glibc2.41"", ""python"": ""3.13.5"", ""scipy"": ""1.17.0"", ""statsmodels"": ""0.14.6""}",data/derived/primary/analysis_dataset_clean.csv,data/derived/primary/analysis_dataset_clean.csv=4492e389789b7126c2b9f15588b682871f374cf917aa6006134c3090bffcf9ed,model_functions.py,4206630e93d535c07e87971021aa67c099e7eb125474c30345af547104c5f997,VERIFIED_CANONICAL
derived_stratum_slope,instructed_rate_interaction,log_articulationrate_by_rate_independence_gee,log_articulationrate,"log_articulationrate ~ C(rate, Treatment(reference='fast')) + C(sequence, Treatment(reference='bibibi')) + co_me_mean_mm_10 + height_cm_c + co_me_mean_mm_10:C(rate, Treatment(reference='fast'))",instructed_rate,fast,Co--Me slope within fast,Per +10 mm bilateral mean Co--Me within the named stratum,-0.065370029211403585,0.025471112626412124,-0.11529249260533478,-0.015447565817472399,-2.5664379161677653,Wald z,0.0102749016943049,-6.3279214812617779,-10.889453597358001,-1.5328864175777501,percent change,8123,28,Gaussian,identity,independence,robust sandwich,participant_id,bibibi,"{""numpy"": ""2.3.5"", ""pandas"": ""2.2.3"", ""patsy"": ""1.0.2"", ""platform"": ""Linux-6.12.13-x86_64-with-glibc2.41"", ""python"": ""3.13.5"", ""scipy"": ""1.17.0"", ""statsmodels"": ""0.14.6""}",data/derived/primary/analysis_dataset_clean.csv,data/derived/primary/analysis_dataset_clean.csv=4492e389789b7126c2b9f15588b682871f374cf917aa6006134c3090bffcf9ed,model_functions.py,4206630e93d535c07e87971021aa67c099e7eb125474c30345af547104c5f997,VERIFIED_CANONICAL
derived_stratum_slope,instructed_rate_interaction,log_articulationrate_by_rate_independence_gee,log_articulationrate,"log_articulationrate ~ C(rate, Treatment(reference='fast')) + C(sequence, Treatment(reference='bibibi')) + co_me_mean_mm_10 + height_cm_c + co_me_mean_mm_10:C(rate, Treatment(reference='fast'))",instructed_rate,normal,Co--Me slope within normal,Per +10 mm bilateral mean Co--Me within the named stratum,-0.037741059542789904,0.022987372302665277,-0.082795481355227421,0.0073133622696476136,-1.6418170396280574,Wald z,0.10062792665279384,-3.7037741501909527,-7.9460604561051866,0.7340170215716979,percent change,8123,28,Gaussian,identity,independence,robust sandwich,participant_id,bibibi,"{""numpy"": ""2.3.5"", ""pandas"": ""2.2.3"", ""patsy"": ""1.0.2"", ""platform"": ""Linux-6.12.13-x86_64-with-glibc2.41"", ""python"": ""3.13.5"", ""scipy"": ""1.17.0"", ""statsmodels"": ""0.14.6""}",data/derived/primary/analysis_dataset_clean.csv,data/derived/primary/analysis_dataset_clean.csv=4492e389789b7126c2b9f15588b682871f374cf917aa6006134c3090bffcf9ed,model_functions.py,4206630e93d535c07e87971021aa67c099e7eb125474c30345af547104c5f997,VERIFIED_CANONICAL
