output_file,record_type,analysis_family,model_id,outcome,outcome_unit,formula,term,term_coding,beta,robust_se,ci_lower,ci_upper,test_statistic,test_statistic_type,p_value,transformed_effect,transformed_ci_lower,transformed_ci_upper,transformed_unit,n_observations,n_speakers,family,link,working_correlation,covariance_estimator,cluster,rate_reference,sequence_reference,subset,selection_rule,software_versions,input_files,input_sha256,script_file,script_sha256,status,task_reference
read_speech_effects_CURRENT.csv,coefficient,read_speech,read_speech_independence_gee,audio_mod_dom_hz,Hz,"audio_mod_dom_hz ~ C(task, Treatment(reference='passage_baseline_noEMA')) + co_me_mean_mm_10 + height_cm_c",Intercept,Intercept at reference categories and centered height = 0,1.744506019521763,1.1523590037855882,-0.51407612515844581,4.003088164201972,1.513856370966796,Wald z,0.1300622716972287,,,,not transformed,73,26,Gaussian,identity,independence,robust sandwich,participant_id,not applicable,not applicable,status == ok and complete anthropometry,read-speech rows with status 'ok'; inner merge to finalized Co--Me and height,"{""numpy"": ""2.3.5"", ""pandas"": ""2.2.3"", ""patsy"": ""1.0.2"", ""platform"": ""Linux-4.4.0-x86_64-with-glibc2.41"", ""python"": ""3.13.5"", ""scipy"": ""1.17.0"", ""statsmodels"": ""0.14.6""}",analysis/read_speech/data/read_speech_envelope.csv; analysis/reliability/anatomy_measurements.csv,analysis/read_speech/data/read_speech_envelope.csv=728d76a7ba5954c3311ec958a2eabff59e9e5ad36865323ba0dbae932420cb89; analysis/reliability/anatomy_measurements.csv=c8699ea27f05daae1eaa205b562d4ac10e135cdd50ddf86719f162736fd25ed1,generate_canonical_empirical_outputs_CURRENT.py,b910303d197117ab53cd187ef56ecfe22465643191eb4f23b2908e102ef7c212,VERIFIED_CANONICAL,passage_baseline_noEMA
read_speech_effects_CURRENT.csv,coefficient,read_speech,read_speech_independence_gee,audio_mod_dom_hz,Hz,"audio_mod_dom_hz ~ C(task, Treatment(reference='passage_baseline_noEMA')) + co_me_mean_mm_10 + height_cm_c","C(task, Treatment(reference='passage_baseline_noEMA'))[T.passage_end_withEMA]",passage_end_withEMA minus passage_baseline_noEMA,0.30494616425672472,0.23153334937313402,-0.14885086173454748,0.75874319024799686,1.3170723141281917,Wald z,0.18781438621397217,,,,not transformed,73,26,Gaussian,identity,independence,robust sandwich,participant_id,not applicable,not applicable,status == ok and complete anthropometry,read-speech rows with status 'ok'; inner merge to finalized Co--Me and height,"{""numpy"": ""2.3.5"", ""pandas"": ""2.2.3"", ""patsy"": ""1.0.2"", ""platform"": ""Linux-4.4.0-x86_64-with-glibc2.41"", ""python"": ""3.13.5"", ""scipy"": ""1.17.0"", ""statsmodels"": ""0.14.6""}",analysis/read_speech/data/read_speech_envelope.csv; analysis/reliability/anatomy_measurements.csv,analysis/read_speech/data/read_speech_envelope.csv=728d76a7ba5954c3311ec958a2eabff59e9e5ad36865323ba0dbae932420cb89; analysis/reliability/anatomy_measurements.csv=c8699ea27f05daae1eaa205b562d4ac10e135cdd50ddf86719f162736fd25ed1,generate_canonical_empirical_outputs_CURRENT.py,b910303d197117ab53cd187ef56ecfe22465643191eb4f23b2908e102ef7c212,VERIFIED_CANONICAL,passage_baseline_noEMA
read_speech_effects_CURRENT.csv,coefficient,read_speech,read_speech_independence_gee,audio_mod_dom_hz,Hz,"audio_mod_dom_hz ~ C(task, Treatment(reference='passage_baseline_noEMA')) + co_me_mean_mm_10 + height_cm_c","C(task, Treatment(reference='passage_baseline_noEMA'))[T.passage_start_withEMA]",passage_start_withEMA minus passage_baseline_noEMA,0.35308788721172812,0.19100006384100204,-0.021265358961486958,0.72744113338494321,1.8486270638404396,Wald z,0.06451168198752219,,,,not transformed,73,26,Gaussian,identity,independence,robust sandwich,participant_id,not applicable,not applicable,status == ok and complete anthropometry,read-speech rows with status 'ok'; inner merge to finalized Co--Me and height,"{""numpy"": ""2.3.5"", ""pandas"": ""2.2.3"", ""patsy"": ""1.0.2"", ""platform"": ""Linux-4.4.0-x86_64-with-glibc2.41"", ""python"": ""3.13.5"", ""scipy"": ""1.17.0"", ""statsmodels"": ""0.14.6""}",analysis/read_speech/data/read_speech_envelope.csv; analysis/reliability/anatomy_measurements.csv,analysis/read_speech/data/read_speech_envelope.csv=728d76a7ba5954c3311ec958a2eabff59e9e5ad36865323ba0dbae932420cb89; analysis/reliability/anatomy_measurements.csv=c8699ea27f05daae1eaa205b562d4ac10e135cdd50ddf86719f162736fd25ed1,generate_canonical_empirical_outputs_CURRENT.py,b910303d197117ab53cd187ef56ecfe22465643191eb4f23b2908e102ef7c212,VERIFIED_CANONICAL,passage_baseline_noEMA
read_speech_effects_CURRENT.csv,coefficient,read_speech,read_speech_independence_gee,audio_mod_dom_hz,Hz,"audio_mod_dom_hz ~ C(task, Treatment(reference='passage_baseline_noEMA')) + co_me_mean_mm_10 + height_cm_c",co_me_mean_mm_10,Per +10 mm bilateral mean Co--Me,-0.026462348674951501,0.1037230875222788,-0.22975586458391381,0.17683116723401079,-0.2551249611545513,Wald z,0.79862658570780831,,,,not transformed,73,26,Gaussian,identity,independence,robust sandwich,participant_id,not applicable,not applicable,status == ok and complete anthropometry,read-speech rows with status 'ok'; inner merge to finalized Co--Me and height,"{""numpy"": ""2.3.5"", ""pandas"": ""2.2.3"", ""patsy"": ""1.0.2"", ""platform"": ""Linux-4.4.0-x86_64-with-glibc2.41"", ""python"": ""3.13.5"", ""scipy"": ""1.17.0"", ""statsmodels"": ""0.14.6""}",analysis/read_speech/data/read_speech_envelope.csv; analysis/reliability/anatomy_measurements.csv,analysis/read_speech/data/read_speech_envelope.csv=728d76a7ba5954c3311ec958a2eabff59e9e5ad36865323ba0dbae932420cb89; analysis/reliability/anatomy_measurements.csv=c8699ea27f05daae1eaa205b562d4ac10e135cdd50ddf86719f162736fd25ed1,generate_canonical_empirical_outputs_CURRENT.py,b910303d197117ab53cd187ef56ecfe22465643191eb4f23b2908e102ef7c212,VERIFIED_CANONICAL,passage_baseline_noEMA
read_speech_effects_CURRENT.csv,coefficient,read_speech,read_speech_independence_gee,audio_mod_dom_hz,Hz,"audio_mod_dom_hz ~ C(task, Treatment(reference='passage_baseline_noEMA')) + co_me_mean_mm_10 + height_cm_c",height_cm_c,"Per +1 cm height, centered as documented for the model input",0.0073860873188863465,0.010436140198804018,-0.01306837160838021,0.027840546246152904,0.70774128922997726,Wald z,0.47910593171649096,,,,not transformed,73,26,Gaussian,identity,independence,robust sandwich,participant_id,not applicable,not applicable,status == ok and complete anthropometry,read-speech rows with status 'ok'; inner merge to finalized Co--Me and height,"{""numpy"": ""2.3.5"", ""pandas"": ""2.2.3"", ""patsy"": ""1.0.2"", ""platform"": ""Linux-4.4.0-x86_64-with-glibc2.41"", ""python"": ""3.13.5"", ""scipy"": ""1.17.0"", ""statsmodels"": ""0.14.6""}",analysis/read_speech/data/read_speech_envelope.csv; analysis/reliability/anatomy_measurements.csv,analysis/read_speech/data/read_speech_envelope.csv=728d76a7ba5954c3311ec958a2eabff59e9e5ad36865323ba0dbae932420cb89; analysis/reliability/anatomy_measurements.csv=c8699ea27f05daae1eaa205b562d4ac10e135cdd50ddf86719f162736fd25ed1,generate_canonical_empirical_outputs_CURRENT.py,b910303d197117ab53cd187ef56ecfe22465643191eb4f23b2908e102ef7c212,VERIFIED_CANONICAL,passage_baseline_noEMA
