model_id,data_subset,outcome,include_height,formula,sequence_reference,term,beta,robust_se,ci_lower_beta,ci_upper_beta,wald_z,p_value,transformed_effect_percent,transformed_ci_lower_percent,transformed_ci_upper_percent,n_observations,n_speakers,working_correlation,covariance_estimator,family,link,cluster,data_sha256,script_sha256
full_no_height_log_speechrate,all_eligible_trials,log_speechrate,False,"log_speechrate ~ C(rate, Treatment(reference='fast')) + C(sequence, Treatment(reference='bibibi')) + co_me_mean_mm_10",bibibi,co_me_mean_mm_10,-0.034844980857967639,0.021082833347374208,-0.076166574910881107,0.0064766131949458364,-1.6527655597252757,0.098378585867359064,-3.4244884816463705,-7.3338164910064734,0.64976318061549243,8123,28,independence,robust sandwich,Gaussian,identity,participant_id,4492e389789b7126c2b9f15588b682871f374cf917aa6006134c3090bffcf9ed,6e877e5f20bacd24f7bd4c36c41e43a928eaf808cc7ead086d258e3f14639657
shared_six_no_height_log_speechrate,six_sequences_shared_by_rate_conditions,log_speechrate,False,"log_speechrate ~ C(rate, Treatment(reference='fast')) + C(sequence, Treatment(reference='kutapi')) + co_me_mean_mm_10",kutapi,Intercept,1.8195935853305489,0.23874673627370036,1.3516585808076138,2.2875285898534843,7.6214385743248796,2.5086401175320166e-14,516.93506257145282,286.38286912607316,885.05627925717749,6456,28,independence,robust sandwich,Gaussian,identity,participant_id,4492e389789b7126c2b9f15588b682871f374cf917aa6006134c3090bffcf9ed,6e877e5f20bacd24f7bd4c36c41e43a928eaf808cc7ead086d258e3f14639657
shared_six_no_height_log_speechrate,six_sequences_shared_by_rate_conditions,log_speechrate,False,"log_speechrate ~ C(rate, Treatment(reference='fast')) + C(sequence, Treatment(reference='kutapi')) + co_me_mean_mm_10",kutapi,"C(rate, Treatment(reference='fast'))[T.normal]",-0.41930791131520306,0.032694300943828684,-0.48338756366482116,-0.35522825896558496,-12.825107104617597,1.1862253955581991e-37,-34.249828812089959,-38.330922988256646,-29.89865876513359,6456,28,independence,robust sandwich,Gaussian,identity,participant_id,4492e389789b7126c2b9f15588b682871f374cf917aa6006134c3090bffcf9ed,6e877e5f20bacd24f7bd4c36c41e43a928eaf808cc7ead086d258e3f14639657
shared_six_no_height_log_speechrate,six_sequences_shared_by_rate_conditions,log_speechrate,False,"log_speechrate ~ C(rate, Treatment(reference='fast')) + C(sequence, Treatment(reference='kutapi')) + co_me_mean_mm_10",kutapi,"C(sequence, Treatment(reference='kutapi'))[T.kukuku]",-0.092722752853370657,0.025536905735426784,-0.1427741683714015,-0.042671337335339815,-3.6309313984246114,0.00028240024722536852,-8.8553838882747709,-13.305016851767803,-4.1773728480947403,6456,28,independence,robust sandwich,Gaussian,identity,participant_id,4492e389789b7126c2b9f15588b682871f374cf917aa6006134c3090bffcf9ed,6e877e5f20bacd24f7bd4c36c41e43a928eaf808cc7ead086d258e3f14639657
shared_six_no_height_log_speechrate,six_sequences_shared_by_rate_conditions,log_speechrate,False,"log_speechrate ~ C(rate, Treatment(reference='fast')) + C(sequence, Treatment(reference='kutapi')) + co_me_mean_mm_10",kutapi,"C(sequence, Treatment(reference='kutapi'))[T.pipipi]",-0.18679952384089921,0.025376337912377749,-0.23653623220867792,-0.13706281547312049,-7.361169467631675,1.8230594470206079e-13,-17.038996325106325,-21.064271837391011,-12.808454536992508,6456,28,independence,robust sandwich,Gaussian,identity,participant_id,4492e389789b7126c2b9f15588b682871f374cf917aa6006134c3090bffcf9ed,6e877e5f20bacd24f7bd4c36c41e43a928eaf808cc7ead086d258e3f14639657
shared_six_no_height_log_speechrate,six_sequences_shared_by_rate_conditions,log_speechrate,False,"log_speechrate ~ C(rate, Treatment(reference='fast')) + C(sequence, Treatment(reference='kutapi')) + co_me_mean_mm_10",kutapi,"C(sequence, Treatment(reference='kutapi'))[T.pitaku]",-0.050580748825538382,0.017912107747043361,-0.085687834896944259,-0.015473662754132506,-2.8238300896714641,0.0047453533835964809,-4.9322840491237807,-8.2119283169018171,-1.5354560740737822,6456,28,independence,robust sandwich,Gaussian,identity,participant_id,4492e389789b7126c2b9f15588b682871f374cf917aa6006134c3090bffcf9ed,6e877e5f20bacd24f7bd4c36c41e43a928eaf808cc7ead086d258e3f14639657
shared_six_no_height_log_speechrate,six_sequences_shared_by_rate_conditions,log_speechrate,False,"log_speechrate ~ C(rate, Treatment(reference='fast')) + C(sequence, Treatment(reference='kutapi')) + co_me_mean_mm_10",kutapi,"C(sequence, Treatment(reference='kutapi'))[T.takupi]",-0.026391104473461702,0.013570426532399314,-0.05298865173181113,0.00020644278488772538,-1.9447512876955706,0.051804919491258469,-2.6045902694693757,-5.1609224985907254,0.020646409566582591,6456,28,independence,robust sandwich,Gaussian,identity,participant_id,4492e389789b7126c2b9f15588b682871f374cf917aa6006134c3090bffcf9ed,6e877e5f20bacd24f7bd4c36c41e43a928eaf808cc7ead086d258e3f14639657
shared_six_no_height_log_speechrate,six_sequences_shared_by_rate_conditions,log_speechrate,False,"log_speechrate ~ C(rate, Treatment(reference='fast')) + C(sequence, Treatment(reference='kutapi')) + co_me_mean_mm_10",kutapi,"C(sequence, Treatment(reference='kutapi'))[T.tatata]",-0.22750812450718719,0.035948202118444163,-0.29796530596830423,-0.15705094304607015,-6.3287761584732554,2.471132779378799e-10,-20.34840498283581,-25.767290637926632,-14.533948130151709,6456,28,independence,robust sandwich,Gaussian,identity,participant_id,4492e389789b7126c2b9f15588b682871f374cf917aa6006134c3090bffcf9ed,6e877e5f20bacd24f7bd4c36c41e43a928eaf808cc7ead086d258e3f14639657
shared_six_no_height_log_speechrate,six_sequences_shared_by_rate_conditions,log_speechrate,False,"log_speechrate ~ C(rate, Treatment(reference='fast')) + C(sequence, Treatment(reference='kutapi')) + co_me_mean_mm_10",kutapi,co_me_mean_mm_10,-0.03613607622151959,0.022874254734185785,-0.080968791673718565,0.0086966392306793774,-1.57977064789411,0.11415939982704251,-3.5490962192548992,-7.777752798468029,0.87345648597483283,6456,28,independence,robust sandwich,Gaussian,identity,participant_id,4492e389789b7126c2b9f15588b682871f374cf917aa6006134c3090bffcf9ed,6e877e5f20bacd24f7bd4c36c41e43a928eaf808cc7ead086d258e3f14639657
full_height_adjusted_log_speechrate,all_eligible_trials,log_speechrate,True,"log_speechrate ~ C(rate, Treatment(reference='fast')) + C(sequence, Treatment(reference='bibibi')) + co_me_mean_mm_10 + height_cm_c",bibibi,Intercept,1.9719485773963921,0.29628268893671689,1.391245177837743,2.5526519769550413,6.6556321075430134,2.8208504747593234e-11,618.46627286791056,301.98523690422644,1184.1113002657135,8123,28,independence,robust sandwich,Gaussian,identity,participant_id,4492e389789b7126c2b9f15588b682871f374cf917aa6006134c3090bffcf9ed,6e877e5f20bacd24f7bd4c36c41e43a928eaf808cc7ead086d258e3f14639657
