figure,panel,outcome_id,outcome_label,participant_id,rate,co_me_mean_mm,height_cm,n_observations,n_sequences,speaker_mean,outcome_unit,rate_label,sequence_scope,descriptive_summary
Figure 2,C,audio_mod_dom_hz,Dominant envelope modulation,sub-779,normal,100.66,162,178,9,3.0209067381518668,Hz,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,C,audio_mod_dom_hz,Dominant envelope modulation,sub-787,fast,106.675,169,120,6,5.895833333333333,Hz,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,C,audio_mod_dom_hz,Dominant envelope modulation,sub-787,normal,106.675,169,160,9,3.524073373139605,Hz,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,C,audio_mod_dom_hz,Dominant envelope modulation,sub-860,fast,106.02500000000001,161,120,6,5.0499999999999998,Hz,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,C,audio_mod_dom_hz,Dominant envelope modulation,sub-860,normal,106.02500000000001,161,180,9,2.5020792415864559,Hz,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,C,audio_mod_dom_hz,Dominant envelope modulation,sub-869,fast,114.23999999999999,172,1,1,6.3492063492063489,Hz,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,C,audio_mod_dom_hz,Dominant envelope modulation,sub-875,fast,121.37,158,100,6,4.9424999999999999,Hz,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,C,audio_mod_dom_hz,Dominant envelope modulation,sub-875,normal,121.37,158,180,9,2.9871907799220185,Hz,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,C,audio_mod_dom_hz,Dominant envelope modulation,sub-891,fast,121.755,173,120,6,5.8166666666666664,Hz,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,C,audio_mod_dom_hz,Dominant envelope modulation,sub-891,normal,121.755,173,176,9,2.9914253085146538,Hz,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,C,audio_mod_dom_hz,Dominant envelope modulation,sub-987,fast,111.06999999999999,170,80,6,5.1890962230215827,Hz,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,C,audio_mod_dom_hz,Dominant envelope modulation,sub-987,normal,111.06999999999999,170,180,9,2.4496301000489935,Hz,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,C,audio_mod_dom_hz,Dominant envelope modulation,sub-989,fast,128.51999999999998,163,57,6,4.0438596491228074,Hz,Maximally fast,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
Figure 2,C,audio_mod_dom_hz,Dominant envelope modulation,sub-989,normal,128.51999999999998,163,168,9,2.9174311041144643,Hz,Habitual,all outcome-complete cases; model lines standardized over the shared six sequences,arithmetic mean across outcome-complete trials within speaker and rate
